paper_id,role,stratum,identifier_type,identifier,doi,title,journal,year,url
PMC11091596,decoy (no answer),oncology_endo_cardio,PMCID,PMC11091596,10.3233/CBM-230230,"Diagnostic and prognostic utility of TROP-2, SLP-2, and CXCL12 expression in papillary thyroid carcinoma",Cancer biomarkers : section A of Disease markers,2024,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11091596/
PMC11091630,decoy (no answer),oncology_endo_cardio,PMCID,PMC11091630,10.3233/CBM-230220,GPX4 inhibits apoptosis of thyroid cancer cells through regulating the FKBP8/Bcl-2 axis,Cancer biomarkers : section A of Disease markers,2024,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11091630/
PMC11492072,decoy (no answer),oncology_endo_cardio,PMCID,PMC11492072,10.3233/CBM-230566,Vitamin D receptor polymorphisms associate with the efficacy and toxicity of radioiodine-131 therapy in patients with differentiated thyroid cancer,Cancer biomarkers : section A of Disease markers,2024,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11492072/
PMC11569652,decoy (no answer),surgery_derm_id,PMCID,PMC11569652,10.1177/19476035241262020,Investigating the Potential of Multilineage Differentiating Stress-Enduring Cells for Osteochondral Healing,Cartilage,2026,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11569652/
PMC12288397,decoy (no answer),oncology_endo_cardio,PMCID,PMC12288397,10.1177/18758592241311195,A nomogram based on the 3-gene signature and clinical characteristics for predicting lymph node metastasis in papillary thyroid cancer,Cancer biomarkers : section A of Disease markers,2025,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12288397/
PMC12288414,decoy (no answer),oncology_endo_cardio,PMCID,PMC12288414,10.1177/18758592251322028,Development and validation of a CT-based radiomics nomogram for predicting cervical lymph node metastasis in papillary thyroid carcinoma,Cancer biomarkers : section A of Disease markers,2025,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12288414/
PMC12882342,decoy (no answer),neurology_non_epilepsy,PMCID,PMC12882342,10.1016/j.ymthe.2025.10.023,Modulation of the unfolded protein response with a C-terminal fragment of MANF facilitates recovery in models of multiple sclerosis,Molecular therapy : the journal of the American Society of Gene Therapy,2026,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12882342/
PMC12951706,decoy (no answer),neurology_non_epilepsy,PMCID,PMC12951706,10.1111/head.15096,Psychosocial factors as predictors of headache chronification: A systematic review and meta-analysis of longitudinal studies,Headache,2026,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12951706/
PMC12954932,decoy (no answer),neurology_non_epilepsy,PMCID,PMC12954932,10.1186/s12893-026-03494-y,"Effect of bariatric surgery on headache frequency, duration and severity",BMC surgery,2026,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12954932/
PMC12958053,decoy (no answer),neurology_non_epilepsy,PMCID,PMC12958053,10.31083/RN46506,[CefaleApp: A Mobile Application for Migraine Diagnosis in Primary Health Care],Revista de neurologia,2026,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12958053/
