paper_id,role,stratum,identifier_type,identifier,doi,title,journal,year,url
28484417_Schaffer_2017,gold (carries answers),epilepsy,PMID,28484417,10.3389/fneur.2017.00086,"Memory, Executive Skills, and Psychosocial Phenotype in Children with Pharmacoresponsive Epilepsy: Reactivity to Intervention",Frontiers in neurology,2017,https://pubmed.ncbi.nlm.nih.gov/28484417/
28515708_Jiang_2017,gold (carries answers),epilepsy,PMID,28515708,10.3389/fneur.2017.00179,Disrupted Structural and Functional Networks and Their Correlation with Alertness in Right Temporal Lobe Epilepsy: A Graph Theory Study,Frontiers in neurology,2017,https://pubmed.ncbi.nlm.nih.gov/28515708/
28572790_Wang_2017,gold (carries answers),epilepsy,PMID,28572790,10.3389/fneur.2017.00215,Photolysis of Caged-GABA Rapidly Terminates Seizures In Vivo: Concentration and Light Intensity Dependence,Frontiers in neurology,2017,https://pubmed.ncbi.nlm.nih.gov/28572790/
28659857_Kim_2017,gold (carries answers),epilepsy,PMID,28659857,10.3389/fneur.2017.00271,A New Rat Model of Epileptic Spasms Based on Methylazoxymethanol-Induced Malformations of Cortical Development,Frontiers in neurology,2017,https://pubmed.ncbi.nlm.nih.gov/28659857/
28671982_Wagner_2017,gold (carries answers),epilepsy,PMID,28671982,10.1371/journal.pone.0180266,Clinical services for adults with an intellectual disability and epilepsy: A comparison of management alternatives,PloS one,2017,https://pubmed.ncbi.nlm.nih.gov/28671982/
28687765_ForeroQuintero_2017,gold (carries answers),epilepsy,PMID,28687765,10.1038/s41598-017-05054-0,Reduction of epileptiform activity in ketogenic mice: The role of monocarboxylate transporters,Scientific reports,2017,https://pubmed.ncbi.nlm.nih.gov/28687765/
28715490_Maschio_2017,gold (carries answers),epilepsy,PMID,28715490,10.1371/journal.pone.0180470,Patterns of care of brain tumor-related epilepsy. A cohort study done in Italian Epilepsy Center,PloS one,2017,https://pubmed.ncbi.nlm.nih.gov/28715490/
28779137_Liu_2017,gold (carries answers),epilepsy,PMID,28779137,10.1038/s41598-017-07343-0,Nicotinamide adenine dinucleotide suppresses epileptogenesis at an early stage,Scientific reports,2017,https://pubmed.ncbi.nlm.nih.gov/28779137/
28790971_Sarkis_2017,gold (carries answers),epilepsy,PMID,28790971,10.3389/fneur.2017.00360,Recurrent Epileptic Auras As a Presenting Symptom of Alzheimer's Disease,Frontiers in neurology,2017,https://pubmed.ncbi.nlm.nih.gov/28790971/
28798359_Xie_2017,gold (carries answers),epilepsy,PMID,28798359,10.1038/s41598-017-07823-3,Portable wireless electrocorticography system with a flexible microelectrodes array for epilepsy treatment,Scientific reports,2017,https://pubmed.ncbi.nlm.nih.gov/28798359/
28824531_Li_2017,gold (carries answers),epilepsy,PMID,28824531,10.3389/fneur.2017.00374,Alterations in Spontaneous Brain Activity and Functional Network Reorganization following Surgery in Children with Medically Refractory Epilepsy: A Resting-State Functional Magnetic Resonance Imaging Study,Frontiers in neurology,2017,https://pubmed.ncbi.nlm.nih.gov/28824531/
28860495_Gan_2017,gold (carries answers),epilepsy,PMID,28860495,10.1038/s41598-017-10619-0,miR-96 attenuates status epilepticus-induced brain injury by directly targeting Atg7 and Atg16L1,Scientific reports,2017,https://pubmed.ncbi.nlm.nih.gov/28860495/
28883807_Farokhian_2017,gold (carries answers),epilepsy,PMID,28883807,10.3389/fneur.2017.00428,Comparing CAT12 and VBM8 for Detecting Brain Morphological Abnormalities in Temporal Lobe Epilepsy,Frontiers in neurology,2017,https://pubmed.ncbi.nlm.nih.gov/28883807/
28919879_MendesCoelho_2017,gold (carries answers),epilepsy,PMID,28919879,10.3389/fneur.2017.00453,Automated Online Quantification Method for (18)F-FDG Positron Emission Tomography/CT Improves Detection of the Epileptogenic Zone in Patients with Pharmacoresistant Epilepsy,Frontiers in neurology,2017,https://pubmed.ncbi.nlm.nih.gov/28919879/
28922360_Urigüen_2017,gold (carries answers),epilepsy,PMID,28922360,10.1371/journal.pone.0184044,Comparison of background EEG activity of different groups of patients with idiopathic epilepsy using Shannon spectral entropy and cluster-based permutation statistical testing,PloS one,2017,https://pubmed.ncbi.nlm.nih.gov/28922360/
28928441_Lin_2017,gold (carries answers),epilepsy,PMID,28928441,10.1038/s41598-017-12346-y,Effects of anti-epileptic drugs on spreading depolarization-induced epileptiform activity in mouse hippocampal slices,Scientific reports,2017,https://pubmed.ncbi.nlm.nih.gov/28928441/
28928712_Murgia_2017,gold (carries answers),epilepsy,PMID,28928712,10.3389/fneur.2017.00459,Metabolomics As a Tool for the Characterization of Drug-Resistant Epilepsy,Frontiers in neurology,2017,https://pubmed.ncbi.nlm.nih.gov/28928712/
28931825_Qiu_2017,gold (carries answers),epilepsy,PMID,28931825,10.1038/s41598-017-10778-0,Disrupted topological organization of structural brain networks in childhood absence epilepsy,Scientific reports,2017,https://pubmed.ncbi.nlm.nih.gov/28931825/
28939854_Schidlitzki_2017,gold (carries answers),epilepsy,PMID,28939854,10.1038/s41598-017-12368-6,A combination of NMDA and AMPA receptor antagonists retards granule cell dispersion and epileptogenesis in a model of acquired epilepsy,Scientific reports,2017,https://pubmed.ncbi.nlm.nih.gov/28939854/
